DATE,PDF FILE,TT BUY,TT SELL,BILL BUY,BILL SELL,TC BUY,TC SELL,CN BUY,CN SELL,PC BUY
2024-06-14 09:30,https://github.com/dutta-partha/sbi_forex_rates/blob/main/pdf_files/2024/6/2024-06-14.pdf,0.00,0.00,0.27,0.29,0.00,0.00,0.00,0.00,0
2024-06-15 09:30,https://github.com/dutta-partha/sbi_forex_rates/blob/main/pdf_files/2024/6/2024-06-15.pdf,0.00,0.00,0.27,0.29,0.00,0.00,0.00,0.00,0
2024-06-18 09:30,https://github.com/dutta-partha/sbi_forex_rates/blob/main/pdf_files/2024/6/2024-06-18.pdf,0.00,0.00,0.27,0.29,0.00,0.00,0.00,0.00,0
2024-06-19 09:30,https://github.com/dutta-partha/sbi_forex_rates/blob/main/pdf_files/2024/6/2024-06-19.pdf,0.00,0.00,0.27,0.29,0.00,0.00,0.00,0.00,0
2024-06-20 14:30,https://github.com/dutta-partha/sbi_forex_rates/blob/main/pdf_files/2024/6/2024-06-20.pdf,0.00,0.00,0.27,0.29,0.00,0.00,0.00,0.00,0
2024-06-21 09:30,https://github.com/dutta-partha/sbi_forex_rates/blob/main/pdf_files/2024/6/2024-06-21.pdf,0.00,0.00,0.27,0.29,0.00,0.00,0.00,0.00,0
2024-06-24 09:30,https://github.com/dutta-partha/sbi_forex_rates/blob/main/pdf_files/2024/6/2024-06-24.pdf,0.00,0.00,0.27,0.29,0.00,0.00,0.00,0.00,0
2024-06-25 09:30,https://github.com/dutta-partha/sbi_forex_rates/blob/main/pdf_files/2024/6/2024-06-25.pdf,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0
2024-06-26 09:30,https://github.com/dutta-partha/sbi_forex_rates/blob/main/pdf_files/2024/6/2024-06-26.pdf,0.00,0.00,0.27,0.29,0.00,0.00,0.00,0.00,0
2024-06-27 09:30,https://github.com/dutta-partha/sbi_forex_rates/blob/main/pdf_files/2024/6/2024-06-27.pdf,0.00,0.00,0.27,0.29,0.00,0.00,0.00,0.00,0
2024-06-28 09:30,https://github.com/dutta-partha/sbi_forex_rates/blob/main/pdf_files/2024/6/2024-06-28.pdf,0.00,0.00,0.27,0.29,0.00,0.00,0.00,0.00,0
2024-06-29 09:30,https://github.com/dutta-partha/sbi_forex_rates/blob/main/pdf_files/2024/6/2024-06-29.pdf,0.00,0.00,0.27,0.29,0.00,0.00,0.00,0.00,0
2024-07-01 09:30,https://github.com/dutta-partha/sbi_forex_rates/blob/main/pdf_files/2024/7/2024-07-01.pdf,0.00,0.00,0.27,0.29,0.00,0.00,0.00,0.00,0
2024-07-02 09:30,https://github.com/dutta-partha/sbi_forex_rates/blob/main/pdf_files/2024/7/2024-07-02.pdf,0.00,0.00,0.27,0.29,0.00,0.00,0.00,0.00,0
2024-07-03 09:30,https://github.com/dutta-partha/sbi_forex_rates/blob/main/pdf_files/2024/7/2024-07-03.pdf,0.00,0.00,0.27,0.29,0.00,0.00,0.00,0.00,0
2024-07-04 09:30,https://github.com/dutta-partha/sbi_forex_rates/blob/main/pdf_files/2024/7/2024-07-04.pdf,0.00,0.00,0.27,0.29,0.00,0.00,0.00,0.00,0
2024-07-05 09:30,https://github.com/dutta-partha/sbi_forex_rates/blob/main/pdf_files/2024/7/2024-07-05.pdf,0.00,0.00,0.27,0.29,0.00,0.00,0.00,0.00,0
2024-07-06 09:30,https://github.com/dutta-partha/sbi_forex_rates/blob/main/pdf_files/2024/7/2024-07-06.pdf,0.00,0.00,0.27,0.29,0.00,0.00,0.00,0.00,0
2024-07-08 09:30,https://github.com/dutta-partha/sbi_forex_rates/blob/main/pdf_files/2024/7/2024-07-08.pdf,0.00,0.00,0.27,0.29,0.00,0.00,0.00,0.00,0
2024-07-09 09:30,https://github.com/dutta-partha/sbi_forex_rates/blob/main/pdf_files/2024/7/2024-07-09.pdf,0.00,0.00,0.27,0.29,0.00,0.00,0.00,0.00,0
2024-07-10 09:30,https://github.com/dutta-partha/sbi_forex_rates/blob/main/pdf_files/2024/7/2024-07-10.pdf,0.00,0.00,0.27,0.29,0.00,0.00,0.00,0.00,0
2024-07-11 09:30,https://github.com/dutta-partha/sbi_forex_rates/blob/main/pdf_files/2024/7/2024-07-11.pdf,0.00,0.00,0.27,0.29,0.00,0.00,0.00,0.00,0
2024-07-12 09:30,https://github.com/dutta-partha/sbi_forex_rates/blob/main/pdf_files/2024/7/2024-07-12.pdf,0.00,0.00,0.27,0.29,0.00,0.00,0.00,0.00,0
2024-07-15 09:30,https://github.com/dutta-partha/sbi_forex_rates/blob/main/pdf_files/2024/7/2024-07-15.pdf,0.00,0.00,0.27,0.29,0.00,0.00,0.00,0.00,0
2024-07-16 09:30,https://github.com/dutta-partha/sbi_forex_rates/blob/main/pdf_files/2024/7/2024-07-16.pdf,0.00,0.00,0.27,0.29,0.00,0.00,0.00,0.00,0
2024-07-18 09:30,https://github.com/dutta-partha/sbi_forex_rates/blob/main/pdf_files/2024/7/2024-07-18.pdf,0.00,0.00,0.27,0.29,0.00,0.00,0.00,0.00,0
2024-07-19 09:30,https://github.com/dutta-partha/sbi_forex_rates/blob/main/pdf_files/2024/7/2024-07-19.pdf,0.00,0.00,0.27,0.29,0.00,0.00,0.00,0.00,0
2024-07-20 09:30,https://github.com/dutta-partha/sbi_forex_rates/blob/main/pdf_files/2024/7/2024-07-20.pdf,0.00,0.00,0.27,0.29,0.00,0.00,0.00,0.00,0
2024-07-22 09:30,https://github.com/dutta-partha/sbi_forex_rates/blob/main/pdf_files/2024/7/2024-07-22.pdf,0.00,0.00,0.27,0.29,0.00,0.00,0.00,0.00,0
2024-07-23 09:30,https://github.com/dutta-partha/sbi_forex_rates/blob/main/pdf_files/2024/7/2024-07-23.pdf,0.00,0.00,0.27,0.29,0.00,0.00,0.00,0.00,0
2024-07-24 09:30,https://github.com/dutta-partha/sbi_forex_rates/blob/main/pdf_files/2024/7/2024-07-24.pdf,0.00,0.00,0.27,0.29,0.00,0.00,0.00,0.00,0
2024-07-25 09:30,https://github.com/dutta-partha/sbi_forex_rates/blob/main/pdf_files/2024/7/2024-07-25.pdf,0.00,0.00,0.27,0.29,0.00,0.00,0.00,0.00,0
2024-07-26 09:30,https://github.com/dutta-partha/sbi_forex_rates/blob/main/pdf_files/2024/7/2024-07-26.pdf,0.00,0.00,0.27,0.29,0.00,0.00,0.00,0.00,0
2024-07-29 09:30,https://github.com/dutta-partha/sbi_forex_rates/blob/main/pdf_files/2024/7/2024-07-29.pdf,0.00,0.00,0.27,0.29,0.00,0.00,0.00,0.00,0
2024-07-30 09:30,https://github.com/dutta-partha/sbi_forex_rates/blob/main/pdf_files/2024/7/2024-07-30.pdf,0.00,0.00,0.27,0.29,0.00,0.00,0.00,0.00,0
